Date,Open,High,Low,Close,Adj Close,Volume
2015-11-30,285.0,290.0,267.0,269.8999938964844,269.16302490234375,115842
2015-12-07,278.0,278.0,247.60000610351562,248.0,247.32284545898438,136639
2015-12-14,250.0,263.79998779296875,248.3000030517578,252.5500030517578,251.86041259765625,234479
2015-12-21,255.0,289.8999938964844,251.0,279.45001220703125,278.6869812011719,210374
2015-12-28,282.20001220703125,311.0,282.0,292.25,291.4520263671875,294793
2016-01-04,290.5,327.0,282.0,302.8999938964844,302.07293701171875,484574
2016-01-11,302.70001220703125,323.5,265.0,273.0,272.25457763671875,434132
2016-01-18,270.0,283.0,248.0,279.1000061035156,278.33795166015625,322202
2016-01-25,286.8500061035156,286.8500061035156,268.25,272.70001220703125,271.9554138183594,143470
2016-02-01,284.95001220703125,285.0,253.0,269.29998779296875,268.564697265625,169299
2016-02-08,267.1000061035156,278.25,215.64999389648438,237.25,236.60218811035156,315588
2016-02-15,258.0,264.0,237.0,249.14999389648438,248.46971130371094,194534
2016-02-22,249.5,254.89999389648438,231.10000610351562,242.5500030517578,241.88772583007812,141408
2016-02-29,247.0,256.0,231.60000610351562,248.10000610351562,247.42257690429688,98847
2016-03-07,248.10000610351562,249.5,237.0,240.0500030517578,239.39456176757812,76855
2016-03-14,242.0500030517578,270.95001220703125,231.60000610351562,237.60000610351562,236.9512481689453,376157
2016-03-21,241.0,250.0,235.0,246.85000610351562,246.17599487304688,220897
2016-03-28,248.35000610351562,271.25,241.5,269.29998779296875,268.564697265625,223153
2016-04-04,268.5,280.45001220703125,263.20001220703125,278.6000061035156,277.8393249511719,131986
2016-04-11,275.79998779296875,283.6000061035156,274.0,276.45001220703125,275.6951904296875,90438
2016-04-18,277.1000061035156,281.3999938964844,261.0,262.5,261.78326416015625,102692
2016-04-25,262.0,266.0,244.0,249.5500030517578,248.8686065673828,98043
2016-05-02,246.5500030517578,268.8999938964844,243.14999389648438,259.5,258.7914733886719,361455
2016-05-09,259.0,267.5,253.0500030517578,256.75,256.0489501953125,205332
2016-05-16,257.0,263.8500061035156,250.0,253.39999389648438,252.70809936523438,168587
