Date,Open,High,Low,Close,Adj Close,Volume
2002-07-01,46.95000076293945,49.599998474121094,44.25,45.349998474121094,30.92646598815918,53852
2002-07-08,46.400001525878906,49.70000076293945,45.349998474121094,47.599998474121094,32.460853576660156,69076
2002-07-15,47.0,47.0,43.0,44.79999923706055,30.5513973236084,20170
2002-07-22,44.79999923706055,45.95000076293945,41.650001525878906,42.400001525878906,28.914714813232422,15250
2002-07-29,41.0,41.0,32.0,33.0,22.504375457763672,32085
2002-08-05,33.5,36.900001525878906,33.5,35.25,24.038766860961914,12982
2002-08-12,35.099998474121094,37.04999923706055,32.0,36.599998474121094,24.959400177001953,10006
2002-08-19,36.75,37.5,35.650001525878906,36.599998474121094,24.959400177001953,4213
2002-08-26,36.45000076293945,36.79999923706055,34.0,35.29999923706055,24.072860717773438,6712
2002-09-02,34.5,35.5,33.79999923706055,34.0,23.18632698059082,7655
2002-09-09,33.900001525878906,34.29999923706055,32.0,33.04999923706055,22.538471221923828,7165
2002-09-16,31.899999618530273,33.75,31.25,32.849998474121094,22.402080535888672,8316
2002-09-23,33.0,33.599998474121094,31.0,33.0,22.504375457763672,4605
2002-09-30,33.0,33.20000076293945,29.700000762939453,32.04999923706055,21.856523513793945,4738
2002-10-07,33.5,35.599998474121094,33.20000076293945,35.0,23.868274688720703,6589
2002-10-14,37.5,37.5,35.5,35.599998474121094,24.27744483947754,4760
2002-10-21,36.5,36.5,31.850000381469727,31.850000381469727,21.72012710571289,8753
2002-10-28,34.95000076293945,36.349998474121094,32.95000076293945,33.79999923706055,23.049930572509766,5766
2002-11-04,34.900001525878906,37.45000076293945,33.849998474121094,34.099998474121094,23.254520416259766,4687
2002-11-11,33.599998474121094,35.0,32.20000076293945,33.5,22.845352172851562,15820
2002-11-18,33.900001525878906,36.5,32.5,36.20000076293945,24.686616897583008,47830
2002-11-25,36.650001525878906,37.79999923706055,36.04999923706055,36.75,25.06169319152832,17285
2002-12-02,36.849998474121094,43.5,36.849998474121094,43.04999923706055,29.357980728149414,32519
2002-12-09,43.29999923706055,44.0,38.599998474121094,39.400001525878906,26.868864059448242,20886
2002-12-16,40.0,40.5,37.0,39.5,26.937055587768555,10641
2002-12-23,40.0,42.650001525878906,40.0,40.599998474121094,27.687196731567383,18529
2002-12-30,40.900001525878906,43.0,39.04999923706055,42.349998474121094,28.880615234375,19987
2003-01-06,42.29999923706055,50.349998474121094,42.0,46.75,31.881208419799805,104448
2003-01-13,48.75,49.0,44.5,45.349998474121094,30.92646598815918,27581
2003-01-20,44.5,46.70000076293945,44.0,44.95000076293945,30.653684616088867,29406
2003-01-27,46.400001525878906,46.400001525878906,37.150001525878906,41.70000076293945,28.437347412109375,20132
2003-02-03,34.150001525878906,44.70000076293945,33.900001525878906,40.400001525878906,27.550806045532227,11230
2003-02-10,40.5,40.5,36.0,38.45000076293945,26.221004486083984,8603
2003-02-17,39.900001525878906,40.29999923706055,38.599998474121094,39.25,26.76656723022461,9893
2003-02-24,41.5,41.75,33.099998474121094,39.95000076293945,27.243932723999023,9328
2003-03-03,41.0,42.5,38.5,39.349998474121094,26.834758758544922,21716
2003-03-10,36.75,38.849998474121094,36.75,37.95000076293945,25.88003158569336,6623
2003-03-17,37.0,39.79999923706055,31.0,38.0,25.914134979248047,11241
2003-03-24,36.79999923706055,39.45000076293945,35.150001525878906,38.75,26.42559051513672,16763
2003-03-31,38.04999923706055,48.95000076293945,35.29999923706055,43.150001525878906,29.426176071166992,11585
2003-04-07,43.5,44.0,35.150001525878906,42.0,28.641935348510742,13113
2003-04-14,42.099998474121094,43.5,34.0,41.0,27.959980010986328,7754
2003-04-21,36.0,43.0,34.0,37.650001525878906,25.67544937133789,22969
2003-04-28,38.0,38.849998474121094,36.29999923706055,36.54999923706055,24.925302505493164,8900
2003-05-05,37.75,37.79999923706055,34.0,37.04999923706055,25.266273498535156,11614
2003-05-12,34.099998474121094,40.900001525878906,34.099998474121094,39.099998474121094,26.664270401000977,12731
2003-05-19,36.0,42.849998474121094,36.0,41.849998474121094,28.539634704589844,9342
2003-05-26,37.0,42.5,35.29999923706055,38.599998474121094,26.323299407958984,43314
2003-06-02,37.04999923706055,56.20000076293945,36.0,55.900001525878906,38.12104415893555,356391
2003-06-09,56.0,64.8499984741211,44.0,61.79999923706055,42.144561767578125,2077772
2003-06-16,62.849998474121094,66.0,56.0,60.20000076293945,41.053436279296875,1055877
2003-06-23,57.20000076293945,64.19999694824219,57.20000076293945,60.650001525878906,41.360313415527344,498525
2003-06-30,56.0,67.3499984741211,54.0,60.900001525878906,41.53080368041992,743334
2003-07-07,60.5,73.5,60.5,70.4000015258789,48.009334564208984,1089440
2003-07-14,73.0,74.9000015258789,64.0,68.0999984741211,46.44084167480469,469413
2003-07-21,66.30000305175781,71.44999694824219,57.0,67.30000305175781,45.89527893066406,346763
2003-07-28,61.0,68.5,57.0,62.150001525878906,42.383243560791016,567519
2003-08-04,61.0,63.849998474121094,57.150001525878906,60.849998474121094,41.496700286865234,223062
2003-08-11,60.5,70.0,57.0,68.3499984741211,46.61133575439453,916306
2003-08-18,69.80000305175781,72.4000015258789,59.0,62.70000076293945,42.75830841064453,665460
2003-08-25,62.400001525878906,67.9000015258789,59.79999923706055,63.70000076293945,43.44025421142578,345756
2003-09-01,61.099998474121094,66.0,58.150001525878906,62.54999923706055,42.65601348876953,168309
